"Feature","Med_Core","Med_Div","p_val","p_adj","Fold_Change"
"SA_Eicosanoid_metabolism_FBA",3025.977309,3333.333333,0.809403835832136,0.897500187049379,1.10157248142141
"SA_Nucleotide_salvage_pathway_FBA",0,0,0.811011114574719,0.897500187049379,NA
"SA_Exchange_demand_reaction_L1w",0,0,0.815961317056899,0.897500187049379,NA
"SA_Galactose_metabolism_FBA",10.5637474765,47.177241445,0.819947650530241,0.897500187049379,4.46595694851188
"AnabolismScore_pFBA",0,0,0.821502187339552,0.897500187049379,NA
"Oncomet_Succinate_FBA",10000,10000,0.866650377529682,0.937530143141496,1
"SA_Transport__peroxisomal_pFBA",0,0,0.872436356735095,0.937530143141496,NA
"TCA_completeness_L1w",0.866666667,0.866666667,0.872736339146458,0.937530143141496,1
"SA_Vitamin_D_metabolism_L1w",0,0,0.876200310377643,0.937530143141496,NA
"SA_Leukotriene_metabolism_FBA",0,0,0.879665863525709,0.937530143141496,NA
"SA_Purine_catabolism_FBA",2623.642919,2558.0474775,0.880824690935357,0.937530143141496,0.974998334939191
"SA_Taurine_and_hypotaurine_metabolism_FBA",0,0,0.89542678224085,0.944255074294892,NA
"SA_Glutamate_metabolism_pFBA",0,7.5295e-06,0.907896790422775,0.944255074294892,NA
"WarburgIndex_FBA",15968.26583,17166.65406,0.910064554756372,0.944255074294892,1.07504811372495
"SA_Biotin_metabolism_L1w",0,0,0.912209402554474,0.944255074294892,NA
"AnabolismScore_FBA",1.4819133785,1.912700865,0.912389206863286,0.944255074294892,1.29069680640581
"SA_Transport__lysosomal_FBA",0,0,0.915293958647477,0.944255074294892,NA
"SA_Cholesterol_metabolism_pFBA",0,0,0.916160912836647,0.944255074294892,NA
"SA_Starch_and_sucrose_metabolism_FBA",2000,1793.490504,0.917602713326891,0.944255074294892,0.896745252
"SA_Transport__endoplasmic_reticular_FBA",1500,1622.710242,0.932002357686215,0.955109854157774,1.081806828
"RedoxIndex_FBA",4187.587775,3204.033651,0.953052579055265,0.972662714426772,0.765126326456524
"SA_Glyoxylate_and_dicarboxylate_metabolism_pFBA",0,0,0.974779678282942,0.98992739504392,NA
"Oncomet_AlphaKG_FBA",4673.260333,6227.324669,0.980731887577191,0.98992739504392,1.33254392549588
"SA_Histidine_metabolism_FBA",0,0,0.988133171170566,0.98992739504392,NA
"EA_FBA",-44830.37806,-69753.790285,0.988893983752632,0.98992739504392,1.55594918676891
"SA_Butanoate_metabolism_FBA",0,0,0.98992739504392,0.98992739504392,NA
